#include "setup.sqf"
Language,English,German

#ifdef __BLUE__
	STR_a_gren,build MK19-Nest,MK19 Pod errichten
	STR_a_aa,build Stinger-Nest,Stinger Pod errichten
	STR_a_tow,build TOW-Nest,TOW Pod errichten
	STR_a_arti,build M-119,M-119 errichten
#endif
#ifdef __RED__
	STR_a_gren,build AGS30-Nest,AGS30 Pod errichten
	STR_a_aa,build Igla-Nest,Igla Pod errichten
	STR_a_tow,build METIS-Nest,METIS Pod errichten
	STR_a_arti,build D30,D30 errichten
#endif

STR_welcome,Welcome to Evolution 2,Willkommen zu Evolution 2
STR_welcome2,Welcome soldier! If you have any questions may be the briefing is able to assist you.,Willkommen Soldat! Solltest du irgendwelche Fragen haben kann dir vieleicht das Briefing behilflich sein.
STR_welcome3,Check you map (M) to find out the actual target location.,Schau auf deine Karte (M) um deinen aktuellen Einsatzort zu finden.

STR_a_capture,Capture,Festnehmen
STR_a_error,Error,Fehler
STR_a_abbort,Abbort,Abbruch
STR_a_ing,build FARP,FARP errichten
STR_a_medic,build field hospital,Feldlazarett errichten
STR_a_mg,build MG-Nest,MG-Nest errichten
STR_a_trench,entrech,eingraben
STR_a_impossible,This action isn't possible on the Aitfield!,Diese Aktion ist auf dem Flugplatz nicht moeglich!
STR_a_impossible2,This ground is not suitable for the construction.,Dieser Untergrund ist fuer den Bau nicht geeignet.
STR_a_impossible3,This action is only on the airfield possible!,Diese Aktion ist nur auf dem Flugfeld moeglich!
STR_a_truck,You are to far away from a Repair-Truck!,Du bist zu weit von einem Reparatur-LKW entfernt!
STR_a_truck1,You are to far away from a Ammo-Truck!,Du bist zu weit von einem Munitions-LKW entfernt!
STR_a_truck2,You are to far away from a MedEvac!,Du bist zu weit von einem Sanitaetsfahrzeug entfernt!
STR_a_artch,press Weaponchange button on KeyBoard to switch between HE and AT Ammo,Drueck die F-Taste um zwischen HE und AT Munition zu wechseln
STR_a_nogrnen,You need a weapon with grenadelauncher to di this!,Du benoetigst eine Waffe mit Granatwerfer um die Aktion ausfuehren zu koennen!
STR_a_noat,You can not build a TOW_POD without Javelin-Launcher or Metis-Launcher or Dragon-Launcher!,Du benoetigst eine Javlin oder einen Dragon-Launcher oder eine Metis um diese Aktion ausfuehren zu koennen!
STR_a_noaa,You can not use this action without any aa-launchers!,Du kannst die Aktion ohne eine Luftabwehrwaffe nicht ausfuehren!
STR_a_nomg,You cannot do this without a mashinegun!,Fuer diese Aktion benoetigst du ein Maschinengewehr!
STR_a_base,~ Move to Base,~ Gehe zur Basis
STR_a_mhq,~ Move to Mobile HQ,~ Gehe zum MHQ
STR_a_ahq,~ Move to Air HQ,~ Gehe zum AHQ
STR_a_farpg,~ Move to german FARP,~ Gehe zum deutschen Aussenposten
STR_a_farpcz,~ Move to czech FARP,~ Gehe zum tschechischen Aussenposten
STR_a_farpus,~ Move to US FARP,~ Gehe zum amerikanischen Aussenposten
STR_a_lshead,Done!,Erledigt!
STR_a_lsbody,Loadout saved...,Ausruestung gespeichert...
STR_a_tomi,call Tomahawk,Tomahawk anfordern
STR_a_chq,Headquarter,Hauptquartier
STR_a_cload,load cargo,Fracht einladen
STR_a_sl,Save Loadout,Ausruestung behalten
STR_a_gbp,Ger Backpack,Rucksack nehmen
STR_a_halo,HALO-jump,HALO-Sprung
STR_a_reject,reject the application,Anfrage ablehnen

STR_o_hosp,MASH,Lazarett
STR_o_farp,FARP,FARP
STR_o_wsfailhead,Error,Fehler
STR_o_wsfailbody,You need a primary weapon to save your current loadout!,Du hast keine Primaerwaffe und kannst daher nicht speichern!


STR_i_jrequ,%1 wants to join your squad. Making your choise.,%1 moechte deinem Team beitreten. Treffe deine Entscheidung.
STR_i_bclear,Your team has freed the city,dein Team hat die Stadt befreit
STR_i_hclear,%1 clear,%1 befreit
STR_i_offi,Officer,Offizier
STR_i_rtower,Radiotower,Funkturm
STR_i_capt,Soldier get captured,Soldat gefangen genommen
STR_i_ofc_dead,Officer dead,Offizier tot
STR_i_ofc_deadb,the officer still not alive,Der Offizier ist gestorben
STR_i_ofc_dead2,Officer killed,Offizier getoetet
STR_i_ofc_deadb2,you have broken the rules of engagement!,du hast gegen die Kriegsregeln verstossen!
STR_i_ofc_fle,Officer get away,Offizier flieht
STR_i_ofc_fleb,you are to far away from him,du bist zu weit weg von ihm
STR_i_ofc_cap,Officer captured,Offizier gefangen
STR_i_ofc_pris,You have earned Bonuspoints. Bring him to prison to earn more points.,Du hast Bonuspunkte erhalten. Bring ihm zum Gefaegnis fuer mehr Bonuspunkte.
STR_i_ofc_pris2,You have earned Bonuspoints. The officer is in prison - good job.,Du hast Bonuspunkte erhalten. Der Offizier ist im Gefaegnis - gute Arbeit.
STR_i_engr,points rewarded for vehicle repair,Punkte erhalten fuer Fahrzeugreparatur
STR_i_medr,points rewarded for healing your buddy,Punkte erhalten erhalten fuer das heilen deines Kameraden
STR_i_twait,You must wait 15 minutes between every Tomahawk launch.,Dir steht nur alle 15 Minuten ein Tomahawk zur Verfuegung.
STR_i_tagain,Tomahawk support avalible again...,Ein weiterer Tomahawk steht zu deiner Verfuegung...
STR_i_tarea,Click on the map to designate target-area,Klicke auf die Karte um ein Zielgebiet zu markieren
STR_i_tbrape,Tomahawk launch abborted! Targetarea is our Base!,Tomahawkabschuss abgebrochen! Zielgebiet ist unsere Base!
STR_i_mhqbroken,The MHQ was destroyed!,Das MHQ wurde zerstoert!
STR_i_ahqbroken,The AHQ was destroyed!,Das AHQ wurde zerstoert!
STR_i_headConter,Conterattack,Gegenangriff
STR_i_bodyConter,Enemy troops attack your base!,Gegnerische Truppen greifen die Basis an!
STR_i_headEin,Warning...,Warnung...
STR_i_bodyEin,Enemys are in our Base spotted,Gegner wurden in unserer Basis gesichtet.
STR_i_headEout,Base clear...,Basis befreit...
STR_i_bodyEout,all enemys in our base are dead or fleeing,Alle Gegner in unserer Basis sind tot oder auf der Flucht.
STR_i_bonush,Extra-Points,Bonuspunkte
STR_i_bonuslaserh,Laserreward,Laserreward
STR_i_bonuslaserb,You have earn extra Scorepoints for marked enemys with your Laserdesignator.,Du hast dir extra Punkte fuer das markieren von Zielen mit dem Laserdesignator verdient.
STR_i_bonusb1,You have add 1 extra point per borded men in the war.Du hast 1 Punkt erhalten fuer jeden transportierten Kamerad.
STR_i_bonusb3,You have add 3 extra points per borded men in the war.Du hast 3 Punkte erhalten fuer jeden transportierten Kamerad.
STR_i_incommingh,Warning!,Warnung!
STR_i_incommingb,missile incomming...,Rackete geortet...
STR_i_info,Info,Info
STR_i_chrep,Helicopter Servicepoint,Helikopter Servicepunkt
STR_i_jetrep,Jet Servicepoint,Jet Servicepunkt
STR_i_ctosmall,This won't fit in the cargospace.,Das passt nicht in diesen Laderaum.
STR_i_nothingir,Nothing to load in range,nichts zum Einladen in Reichweite
STR_i_cfull,Cargo is already full,Transporter ist bereits beladen
STR_i_takenote,Take note,Beachte
STR_i_thottle,Before you unload the cargo you have to throttle your speed under 250!!!,Bevor du den Transporter entlaedst, bremse dein Fahrzeug auf 250 ab!!!
STR_o_bpfail,you have already a launcher on your back,Du hast bereits einen Launcher auf deinem Ruecken
STR_n_avalible,This function was disabled in the lobby parameters.,Diese Funktion wurde in den Lobbyparametern deaktiviert.
